TumoID,BirthDate,Classification,Status,StudentSchedule,AttendingSince,RetentionByMonths,RetentionGrouped,Age,Present,PresenceRatio
2.50303E+11,29-Sep-12,T,Active,Thursday 15:30,13-Mar-25,4,0.1 - 0.5 Year,12,21,72
2.50303E+11,13-Dec-12,T,Active,Sunday 11:30,13-Mar-25,4,0.1 - 0.5 Year,12,27,77
2.50305E+11,1-Jul-11,T,Active,Tuesday 17:30,8-Apr-25,3,0.1 - 0.5 Year,14,21,77
2.50305E+11,14-Sep-12,T,Active,Wednesday 17:30,9-Apr-25,3,0.1 - 0.5 Year,12,13,68
2.50305E+11,1-Dec-11,T,Freeze,Sunday 09:30,10-Apr-25,3,0.1 - 0.5 Year,13,14,63
2.50305E+11,24-Mar-11,T,Active,Wednesday 17:30,9-Apr-25,3,0.1 - 0.5 Year,14,19,95
2.50305E+11,20-Oct-12,T,Active,Saturday 19:30,9-Apr-25,3,0.1 - 0.5 Year,12,22,88
2.50305E+11,25-Sep-12,T,Active,Sunday 11:30,10-Apr-25,3,0.1 - 0.5 Year,12,13,65
2.30302E+11,8-Oct-10,T,Active,Sunday 11:30,14-Sep-23,22,1.5 - 2 Year,14,83,84
2.50305E+11,23-Nov-12,T,Active,Saturday 11:30,12-Apr-25,3,0.1 - 0.5 Year,12,19,100
2.50305E+11,28-Nov-11,T,Active,Thursday 17:30,10-Apr-25,3,0.1 - 0.5 Year,13,23,95
2.50305E+11,5-Dec-12,T,Active,Saturday 11:30,12-Apr-25,3,0.1 - 0.5 Year,12,19,100
2.50305E+11,15-Sep-11,T,Freeze,Tuesday 17:30,8-Apr-25,3,0.1 - 0.5 Year,13,16,76
2.50305E+11,26-Dec-11,T,Active,Saturday 11:30,12-Apr-25,3,0.1 - 0.5 Year,13,19,100
2.41126E+11,8-Nov-12,T,Active,Saturday 09:30,14-Jan-25,6,0.5 - 1 Year,12,29,87
2.31116E+11,6-Sep-11,T,Active,Monday 19:30,11-Mar-24,16,1 - 1.5 Year,13,77,87
2.31127E+11,16-Apr-08,T,Freeze,Saturday 15:30,13-Mar-24,16,1 - 1.5 Year,17,63,76
2.20719E+11,17-May-10,U,Active,Saturday 15:30,19-Nov-22,32,2.5 - 3 Year,15,93,53
2.50306E+11,14-Jan-12,T,Active,Tuesday 19:30,6-May-25,2,0.1 - 0.5 Year,13,16,100
2.50306E+11,29-Dec-12,T,Active,Monday 17:30,7-Apr-25,3,0.1 - 0.5 Year,12,11,57
2.50306E+11,22-Dec-11,T,Active,Saturday 11:30,12-Apr-25,3,0.1 - 0.5 Year,13,23,100
2.50306E+11,1-Mar-13,T,Active,Saturday 11:30,10-May-25,2,0.1 - 0.5 Year,12,12,70
2.50306E+11,27-Sep-11,T,Active,Thursday 17:30,10-Apr-25,3,0.1 - 0.5 Year,13,23,92
2.50306E+11,13-Apr-10,T,Active,Thursday 17:30,10-Apr-25,3,0.1 - 0.5 Year,15,24,96
2.50306E+11,4-Apr-11,T,Active,Saturday 09:30,8-Apr-25,3,0.1 - 0.5 Year,14,19,100
2.50306E+11,20-Dec-12,T,Active,Thursday 17:30,10-Apr-25,3,0.1 - 0.5 Year,12,19,86
2.41125E+11,1-Aug-12,T,Active,Monday 15:30,13-Jan-25,6,0.5 - 1 Year,12,26,72
2.50306E+11,5-Mar-13,T,Active,Tuesday 15:30,8-Apr-25,3,0.1 - 0.5 Year,12,18,90
2.50307E+11,11-Nov-11,T,Active,Wednesday 15:30,9-Apr-25,3,0.1 - 0.5 Year,13,19,82
2.41125E+11,19-Nov-12,T,Suspended,Sunday 11:30,16-Jan-25,6,0.5 - 1 Year,12,21,63
2.31116E+11,1-May-10,U,Active,Monday 19:30,13-Mar-24,16,1 - 1.5 Year,15,81,92
2.30224E+11,15-Jan-09,M,Active,Sunday 13:30,14-Sep-23,22,1.5 - 2 Year,16,117,88
2.41211E+11,23-Nov-12,T,Active,Tuesday 15:30,11-Feb-25,5,0.1 - 0.5 Year,12,23,82
1812210015,28-Jul-05,O,Active,Sunday 17:30,3-May-19,74,3+ Year,20,299,76
2.30424E+11,21-Apr-11,M,Active,Saturday 17:30,11-Nov-23,20,1.5 - 2 Year,14,97,89
2.2091E+11,8-Aug-09,U,Active,Sunday 15:30,17-Feb-23,29,2 - 2.5 Year,15,87,64
2.50307E+11,16-Feb-13,T,Active,Friday 19:30,7-Apr-25,3,0.1 - 0.5 Year,12,16,80
2.50307E+11,24-Sep-12,T,Freeze,Sunday 09:30,10-Apr-25,3,0.1 - 0.5 Year,12,9,47
2.50307E+11,5-Nov-12,U,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,12,37,100
2.50307E+11,26-Apr-12,T,Active,Wednesday 17:30,9-Apr-25,3,0.1 - 0.5 Year,13,15,78
2.50307E+11,14-Jun-11,T,Active,Saturday 17:30,9-Apr-25,3,0.1 - 0.5 Year,14,14,70
2.41125E+11,5-Jan-08,T,Active,Monday 17:30,13-Jan-25,6,0.5 - 1 Year,17,28,80
2.50308E+11,17-Feb-12,T,Active,Tuesday 17:30,8-Apr-25,3,0.1 - 0.5 Year,13,22,84
2.50308E+11,10-Jul-12,T,Active,Wednesday 17:30,9-Apr-25,3,0.1 - 0.5 Year,13,11,57
2.50308E+11,15-Mar-12,T,Active,Wednesday 17:30,9-Apr-25,3,0.1 - 0.5 Year,13,11,57
2.41125E+11,22-Nov-12,T,Active,Sunday 13:30,10-Apr-25,3,0.1 - 0.5 Year,12,18,69
2.31116E+11,29-Oct-11,M,Active,Thursday 15:30,14-Mar-24,16,1 - 1.5 Year,13,91,90
2.50309E+11,18-Sep-10,T,Active,Wednesday 17:30,9-Apr-25,3,0.1 - 0.5 Year,14,23,100
2.50309E+11,20-Nov-12,T,Active,Sunday 13:30,10-Apr-25,3,0.1 - 0.5 Year,12,14,70
2.50309E+11,15-Jan-13,T,Active,Wednesday 15:30,9-Apr-25,3,0.1 - 0.5 Year,12,15,75
2.50309E+11,11-May-11,T,Active,Saturday 13:30,12-Apr-25,3,0.1 - 0.5 Year,14,23,92
2.5031E+11,8-Dec-12,T,Active,Wednesday 15:30,9-Apr-25,3,0.1 - 0.5 Year,12,19,82
2.5031E+11,1-Mar-13,T,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,12,21,91
2.5031E+11,15-Feb-13,T,Active,Wednesday 17:30,9-Apr-25,3,0.1 - 0.5 Year,12,18,85
2.5031E+11,7-Mar-12,T,Freeze,Wednesday 15:30,9-Apr-25,3,0.1 - 0.5 Year,13,8,40
2.5031E+11,3-Feb-13,T,Active,Wednesday 15:30,9-Apr-25,3,0.1 - 0.5 Year,12,21,84
2.5031E+11,7-Feb-11,T,Active,Thursday 17:30,10-Apr-25,3,0.1 - 0.5 Year,14,20,90
2.5031E+11,22-Oct-12,T,Freeze,Wednesday 15:30,9-Apr-25,3,0.1 - 0.5 Year,12,11,57
2.5031E+11,14-Dec-10,T,Active,Thursday 15:30,10-Apr-25,3,0.1 - 0.5 Year,14,16,88
2.5031E+11,9-Mar-13,T,Active,Saturday 15:30,9-Apr-25,3,0.1 - 0.5 Year,12,20,80
2.5031E+11,13-Dec-12,T,Active,Tuesday 15:30,8-Apr-25,3,0.1 - 0.5 Year,12,20,100
2.5031E+11,8-Aug-09,T,Active,Saturday 11:30,12-Apr-25,3,0.1 - 0.5 Year,15,17,89
2.5031E+11,15-Oct-12,T,Active,Wednesday 19:30,9-Apr-25,3,0.1 - 0.5 Year,12,13,61
2.5031E+11,26-Feb-13,T,Active,Wednesday 15:30,9-Apr-25,3,0.1 - 0.5 Year,12,17,89
2001290042,16-Dec-07,U,Active,Saturday 19:30,25-May-20,62,3+ Year,17,191,72
2.50311E+11,14-Dec-10,T,Active,Saturday 19:30,9-Apr-25,3,0.1 - 0.5 Year,14,22,95
2.50311E+11,2-Apr-12,T,Active,Sunday 09:30,10-Apr-25,3,0.1 - 0.5 Year,13,14,73
2.50311E+11,6-Dec-12,T,Active,Thursday 17:30,10-Apr-25,3,0.1 - 0.5 Year,12,18,85
2.41125E+11,6-Apr-12,U,Active,Friday 19:30,3-Dec-24,7,0.5 - 1 Year,13,56,96
2.31116E+11,6-Nov-11,M,Active,Wednesday 15:30,14-Feb-24,17,1 - 1.5 Year,13,88,93
2.30224E+11,23-Jan-11,U,Suspended,Friday 19:30,30-Jun-23,25,2 - 2.5 Year,14,87,68
2.20525E+11,1-Nov-09,O,Active,Thursday 19:30,6-Oct-22,33,2.5 - 3 Year,15,221,84
2.1092E+11,3-Aug-08,M,Active,Saturday 11:30,28-Nov-21,44,3+ Year,16,176,82
2.50311E+11,10-Feb-13,T,Active,Tuesday 17:30,8-Apr-25,3,0.1 - 0.5 Year,12,18,90
2.50311E+11,4-Mar-13,T,Active,Monday 17:30,7-Apr-25,3,0.1 - 0.5 Year,12,22,91
2.50311E+11,15-Feb-13,T,Active,Saturday 11:30,12-Apr-25,3,0.1 - 0.5 Year,12,19,82
2.50311E+11,14-Mar-11,T,Active,Wednesday 17:30,9-Apr-25,3,0.1 - 0.5 Year,14,17,89
2.50311E+11,13-Sep-12,T,Active,Friday 17:30,7-Apr-25,3,0.1 - 0.5 Year,12,22,95
2.50311E+11,31-Oct-12,T,Active,Monday 19:30,7-Apr-25,3,0.1 - 0.5 Year,12,15,75
2.50311E+11,23-Jul-12,U,Active,Sunday 15:30,8-Apr-25,3,0.1 - 0.5 Year,13,29,90
2.00905E+11,26-Jul-08,U,Active,Sunday 15:30,14-Feb-21,53,3+ Year,17,204,82
2.30424E+11,13-Nov-09,U,Active,Saturday 11:30,11-Nov-23,20,1.5 - 2 Year,15,75,75
2.50312E+11,30-Jun-11,T,Active,Saturday 15:30,9-Apr-25,3,0.1 - 0.5 Year,14,24,96
2.50312E+11,30-Jun-11,U,Active,Saturday 15:30,9-Apr-25,3,0.1 - 0.5 Year,14,38,97
2.50312E+11,17-Feb-13,T,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,12,21,77
2.50312E+11,11-Jun-12,T,Active,Wednesday 17:30,9-Apr-25,3,0.1 - 0.5 Year,13,16,84
2.50312E+11,20-Nov-12,T,Active,Wednesday 17:30,9-Apr-25,3,0.1 - 0.5 Year,12,17,85
2.50312E+11,10-Jul-07,null,Suspended,Saturday 11:30,12-Apr-25,3,0.1 - 0.5 Year,18,3,10
2.50312E+11,10-Oct-12,T,Active,Saturday 11:30,12-Apr-25,3,0.1 - 0.5 Year,12,13,61
2.50312E+11,21-Oct-11,T,Active,Tuesday 17:30,8-Apr-25,3,0.1 - 0.5 Year,13,14,70
2.50312E+11,27-May-11,T,Active,Tuesday 17:30,8-Apr-25,3,0.1 - 0.5 Year,14,18,90
2.50312E+11,9-Jan-13,T,Active,Thursday 17:30,10-Apr-25,3,0.1 - 0.5 Year,12,22,91
2.50312E+11,25-Feb-13,T,Suspended,Saturday 19:30,9-Apr-25,3,0.1 - 0.5 Year,12,11,52
2.50312E+11,4-Feb-13,T,Preclosed,Wednesday 15:30,9-Apr-25,3,0.1 - 0.5 Year,12,7,36
2.50312E+11,6-May-11,T,Active,Saturday 15:30,9-Apr-25,3,0.1 - 0.5 Year,14,21,87
2.50312E+11,16-Nov-12,T,Active,Sunday 15:30,8-Apr-25,3,0.1 - 0.5 Year,12,23,88
2.10406E+11,23-Feb-09,O,Active,Friday 15:30,17-Apr-21,51,3+ Year,16,195,73
2.10924E+11,23-Jul-09,M,Active,Thursday 19:30,25-Nov-21,44,3+ Year,16,111,56
2.20719E+11,2-Dec-05,O,Active,Monday 17:30,7-Sep-22,34,2.5 - 3 Year,19,197,89
2.50312E+11,23-Feb-13,T,Active,Thursday 17:30,10-Apr-25,3,0.1 - 0.5 Year,12,16,69
2.50313E+11,6-Aug-12,T,Active,Monday 19:30,7-Apr-25,3,0.1 - 0.5 Year,12,21,87
2.50313E+11,21-Feb-13,T,Active,Thursday 17:30,10-Apr-25,3,0.1 - 0.5 Year,12,18,85
2.50313E+11,3-Mar-13,T,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,12,29,96
2.41125E+11,18-Nov-12,T,Suspended,Sunday 13:30,13-Feb-25,5,0.1 - 0.5 Year,12,22,68
2.50313E+11,7-Mar-13,T,Active,Monday 15:30,7-Apr-25,3,0.1 - 0.5 Year,12,21,87
